Column,Coef
Indoor,-0.008205490055114922
Outdoor,0.018288190776828448
Carpet,0.018235098719900585
Clay,-0.003667065794783745
Grass,-0.030137893520682985
Hard,0.02565256131728023
ATP250,0.010034866580374424
ATP500,0.01715351764804923
Grand Slam,-0.014697553313709536
Masters 1000,0.03930679973658772
Masters Cup,-0.04171492992958769
1st Round,-0.007050532204758626
2nd Round,0.016031368962612095
3rd Round,-0.07591470921881736
4th Round,0.019890644865569376
Quarterfinals,-0.030447977161825367
Round Robin,0.08453897012931598
Semifinals,-0.012502992714257024
The Final,0.01553792806387606
Rank Index,0.3627017152187937
Pl0 Recent Form,-0.27294250215186305
Pl0 Form,0.2708226143231703
Pl1 Recent Form,0.3138160892166305
Pl1 Form,-0.5232964971778234
Pl0 Perf. vs Similar Opponent,-2.4604492270974863
Pl1 Perf. vs Similar Opponent,2.234436723553626
Pl0 Surface Performance,-3.0215764061759263
Pl1 Surface Performance,3.3898388273034454
